NUMERACION,CONSOLA,TITULO DEL JUEGO,JAPON,AMERICA DEL NORTE,PAL
1,GAME BOY,3 CHOUME NO TAMA: TAMA AND FRIENDS – 3 CHOUME OBAKE PANIC!!,RELEASED,UNRELEASED,UNRELEASED
2,GAME BOY,3-PUN YOSO UMABAN CLUB,RELEASED,UNRELEASED,UNRELEASED
3,GAME BOY,4-IN-1 FUN PAK,RELEASED,RELEASED,RELEASED
4,GAME BOY,4-IN-1 FUNPAK: VOLUME II,UNRELEASED,RELEASED,RELEASED
5,GAME BOY,AA HARIMANADA,RELEASED,UNRELEASED,UNRELEASED
6,GAME BOY,THE ADDAMS FAMILY,RELEASED,RELEASED,RELEASED
7,GAME BOY,THE ADDAMS FAMILY: PUGSLEY'S SCAVENGER HUNT,UNRELEASED,RELEASED,RELEASED
8,GAME BOY,ADVENTURE ISLAND,RELEASED,RELEASED,RELEASED
9,GAME BOY,ADVENTURE ISLAND II: ALIENS IN PARADISE,RELEASED,RELEASED,RELEASED
10,GAME BOY,ADVENTURES OF LOLO,RELEASED,UNRELEASED,RELEASED
11,GAME BOY,THE ADVENTURES OF ROCKY AND BULLWINKLE AND FRIENDS,UNRELEASED,RELEASED,UNRELEASED
12,GAME BOY,THE ADVENTURES OF STAR SAVER,RELEASED,RELEASED,RELEASED
13,GAME BOY,AEROSTAR,RELEASED,RELEASED,RELEASED
14,GAME BOY,AFTER BURST,RELEASED,UNRELEASED,UNRELEASED
15,GAME BOY,AGURI SUZUKI F-1 SUPER DRIVING,RELEASED,UNRELEASED,UNRELEASED
16,GAME BOY,AKAZUKIN CHA CHA,RELEASED,UNRELEASED,UNRELEASED
17,GAME BOY,ALADDIN,UNRELEASED,RELEASED,RELEASED
18,GAME BOY,ALFRED CHICKEN,RELEASED,RELEASED,RELEASED
19,GAME BOY,ALIEN OLYMPICS 2044 AD,UNRELEASED,UNRELEASED,RELEASED
20,GAME BOY,ALIEN VS PREDATOR: THE LAST OF HIS CLAN,RELEASED,RELEASED,UNRELEASED
21,GAME BOY,ALIEN³,RELEASED,RELEASED,RELEASED
22,GAME BOY,ALL-STAR BASEBALL '99,UNRELEASED,RELEASED,UNRELEASED
23,GAME BOY,ALLEYWAY,RELEASED,RELEASED,RELEASED
24,GAME BOY,ALTERED SPACE: A 3-D ALIEN ADVENTURE,RELEASED,RELEASED,RELEASED
25,GAME BOY,AMAZING PENGUIN,RELEASED,RELEASED,RELEASED
26,GAME BOY,THE AMAZING SPIDER-MAN,UNRELEASED,RELEASED,RELEASED
27,GAME BOY,THE AMAZING SPIDER-MAN 2,UNRELEASED,RELEASED,RELEASED
28,GAME BOY,AMAZING TATER,RELEASED,RELEASED,UNRELEASED
29,GAME BOY,AMERICA ODAN ULTRA QUIZ,RELEASED,UNRELEASED,UNRELEASED
30,GAME BOY,AMERICA ODAN ULTRA QUIZ PART 2,RELEASED,UNRELEASED,UNRELEASED
31,GAME BOY,AMERICA ODAN ULTRA QUIZ PART 3,RELEASED,UNRELEASED,UNRELEASED
32,GAME BOY,AMERICA ODAN ULTRA QUIZ PART 4,RELEASED,UNRELEASED,UNRELEASED
33,GAME BOY,AMIDA,RELEASED,UNRELEASED,UNRELEASED
34,GAME BOY,ANIMAL BREEDER,RELEASED,UNRELEASED,UNRELEASED
35,GAME BOY,ANIMAL BREEDER 2,RELEASED,UNRELEASED,UNRELEASED
36,GAME BOY,ANIMANIACS,UNRELEASED,RELEASED,RELEASED
37,GAME BOY,ANOTHER BIBLE,RELEASED,UNRELEASED,UNRELEASED
38,GAME BOY,AOKI DENSETSU SHOOT!,RELEASED,UNRELEASED,UNRELEASED
39,GAME BOY,ARCADE CLASSIC NO. 1 - ASTEROIDS - MISSILE COMMAND,UNRELEASED,RELEASED,RELEASED
40,GAME BOY,ARCADE CLASSIC NO. 2 - CENTIPEDE - MILLIPEDE,UNRELEASED,RELEASED,RELEASED
41,GAME BOY,ARCADE CLASSIC NO. 3 - GALAGA - GALAXIAN,RELEASED,RELEASED,RELEASED
42,GAME BOY,ARCADE CLASSIC NO. 4 - DEFENDER - JOUST,UNRELEASED,RELEASED,RELEASED
43,GAME BOY,ARCADE CLASSICS - SUPER BREAKOUT - BATTLEZONE,UNRELEASED,RELEASED,RELEASED
44,GAME BOY,ARETHA,RELEASED,UNRELEASED,UNRELEASED
45,GAME BOY,ARETHA II,RELEASED,UNRELEASED,UNRELEASED
46,GAME BOY,ARETHA III,RELEASED,UNRELEASED,UNRELEASED
47,GAME BOY,ASMIK-KUN WORLD 2,RELEASED,UNRELEASED,UNRELEASED
48,GAME BOY,ASTERIX,UNRELEASED,UNRELEASED,RELEASED
49,GAME BOY,ASTERIX & OBELIX,UNRELEASED,UNRELEASED,RELEASED
50,GAME BOY,ASTEROIDS,UNRELEASED,RELEASED,RELEASED
51,GAME BOY,ASTRO RABBY,RELEASED,UNRELEASED,UNRELEASED
52,GAME BOY,ATOMIC PUNK,RELEASED,RELEASED,RELEASED
53,GAME BOY,ATTACK OF THE KILLER TOMATOES,RELEASED,RELEASED,RELEASED
54,GAME BOY,AVENGING SPIRIT,RELEASED,RELEASED,RELEASED
55,GAME BOY,AYAKASHI NO SHIRO,RELEASED,UNRELEASED,UNRELEASED
56,GAME BOY,BAKENOU TV '94,RELEASED,UNRELEASED,UNRELEASED
57,GAME BOY,BAKENOU V3,RELEASED,UNRELEASED,UNRELEASED
58,GAME BOY,BAKUCHOU RETRIEVE MASTER,RELEASED,UNRELEASED,UNRELEASED
59,GAME BOY,BAKUCHOU RETSUDEN SHOU: HYPER FISHING,RELEASED,UNRELEASED,UNRELEASED
60,GAME BOY,BALLOON KID,UNRELEASED,RELEASED,RELEASED
61,GAME BOY,BANISHING RACER,RELEASED,UNRELEASED,UNRELEASED
62,GAME BOY,BARBIE: GAME GIRL,UNRELEASED,RELEASED,RELEASED
